rank,restaurant_name,city,state,phone_number,website,email_address,source,source_url,verification_status
70,Banh Mi Ngon,Austin,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
71,Comfort Cafe,Smithville,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
72,CorkScrew BBQ,Spring,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
73,Outlaw Kitchens,San Antonio,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
74,Spicy Mikes Bar-B-Q Haven,Amarillo,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
75,Local Poke,Houston,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
76,BackDraft Pizzeria,Bee Cave,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
77,Alamo Hot Dog,San Antonio,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
78,Sky Rocket Burger,Dallas,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
79,The B's Kitchen,Austin,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
80,Spice Station,Kingsville,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
81,Iron Fish Sushi & Grill,Pflugerville,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
82,Taco y Vino,Dallas,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
83,Not Just Q,Dallas,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
84,Steves' Market & Deli,Brownwood,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
85,Papi's Pies,Round Rock,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
86,Avesta Persian Grill,Houston,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
87,Lebowski's Grill,Austin,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
88,Tyler's Barbeque,Amarillo,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
89,Up Inspired Kitchen,Frisco,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
90,Tender Smokehouse,Celina,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
91,Sharks Burger,Leander,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
92,Eggsquisite Cafe,Allen,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
93,5 Ate Cafe,Spring,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
94,Sushi Kadan,Carrollton,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
95,Nyam Nyam Cafe,Cypress,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
96,Sikhay Thai Lao Cuisine,Fort Worth,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
97,The Red Vault Bistro,Flatonia,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
98,Okome Don,Houston,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
99,La Cocina de Roberto,The Woodlands,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
100,Arepitas,Harker Heights,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
